SerCon 'Callisto CF-IRMS' system : IN1215 Gulf Bio
16:06:48	05-13-2022

Data from file : C:\Sercon\Callisto_4100\ISOEARTH+\Results\PYRO PRECISION CYSTINE.prn
Un-Drift Corrected
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	 ug	 	DeltaAir	 	 	 	 	 ug	 	DeltaPDB	 	 	 	 	 ug	 	*DeltaCDT	 	 	 	 
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	ug	 	DeltaAir	 	 	 	 	ug	 	DeltaPDB	 	 	 	 	ug	 	*DeltaCDT	 	 	 	 
 1 	B	Blank	 100 	 9.53305175879944E-09 	 572.479440916918 		 4.60429146328168 	 0 	 3.69342767756476E-03 	 1.85256723908345E-05 	 1.01611596870985E-09 	 54.0613432221266 		-56.0649192284318 	-32.3382286865934 	 1.06071872896463E-02 	 4.0005073411229E-03 	 2.63386708276858E-11 	 1.26761220249287 		 95.8312600923937 	 95.8312600923937 	 5.24109471084682E-02 	 1.71432022698959E-02 	?
 2 	B	Blank	 100 	 1.09103991353596E-08 	 653.31581507311 		 0.415303600269439 	 0 	 3.67802686368639E-03 	 1.60713344703518E-05 	 1.05318051155101E-09 	 55.9142088447487 		-57.4103188088424 	-76.1690572675268 	 1.05920687654813E-02 	 3.8193019275128E-03 	 1.49321221457489E-10 	 6.843338339627 		 109.044993284289 	 109.044993284289 	 5.29944712100977E-02 	 2.38498789949624E-02 	?
 3 	B	Blank	 100 	 1.61025463601104E-08 	 961.453780325579 		 1.43042134438323 	 0 	 3.68175894407263E-03 	 1.44703157836653E-05 	 1.0544654476842E-09 	 55.862648072375 		-52.7757100134439 	-54.2237458208629 	 1.06441487914369E-02 	 3.91002823514243E-03 	 1.31461489155486E-10 	 6.07271591241815 		 190.871022486714 	 190.871022486714 	 5.66079414796422E-02 	 2.72716094776939E-02 	?
 4 	B	Blank	 100 	 1.42638750988584E-08 	 849.190992861772 		 1.44364079652308 	 0 	 3.68180754538842E-03 	 1.54847527357362E-05 	 1.04721318899478E-09 	 55.3598537046647 		-56.5570418125912 	-33.394379190704 	 1.06016572097435E-02 	 3.99614100365842E-03 	 1.16553462519396E-10 	 5.27835355161286 		 0.845374597411777 	 0.845374597411777 	 4.82163320852015E-02 	 3.55556914799067E-02 	?
 5 	B	Blank	 100 	 1.04368038825013E-08 	 619.549734478572 		 2.270139494247 	 0 	 3.6848461678506E-03 	 1.60863711693627E-05 	 1.02636345256091E-09 	 54.1443708076603 		-67.9485534196445 	-164.319313945061 	 1.04736485155128E-02 	 3.45487113215163E-03 	 9.6851324377957E-11 	 4.39850001215756 		 52.9605684525786 	 52.9605684525786 	 5.05177602298573E-02 	 40.7899564883954 	?
 6 	S	TEST	 100 	 2.02163327717164E-07 	 11967.3860401093 		 4.12631448445647 	 0 	 3.6916703952021E-03 	 1.14143094345416E-05 	 5.88519164512746E-07 	 30979.9012893353 		-14.5623197558247 	-29.9456122723703 	 1.10735603004398E-02 	 4.01039889601671E-03 	 6.00080809459724E-07 	 26770.004510484 		 2.77575013130831 	 2.77575013130831 	 4.83015782451873E-02 	 4.43613651214037E-04 	?
 7 	R	CYSTINE	 100 	 1.96528859457146E-07 	 11600.0007838011 		 3.77998320549652 	 0 	 3.69039710825501E-03 	 1.36190308166169E-05 	 5.6920902791191E-07 	 29899.9994991646 		-14.2601916423796 	-29.9453992220445 	 1.10769553744763E-02 	 4.01039977680938E-03 	 5.99870154160964E-07 	 26599.9995172024 		 2.90000014163724 	 2.90000014163724 	 4.83070651783704E-02 	 4.45283596036461E-04 	?
 8 	S	TEST	 100 	 2.00532843865064E-07 	 11802.4874916596 		 3.59427654990417 	 0 	 3.68971435773572E-03 	 1.36700433991994E-05 	 5.77972242954417E-07 	 30296.207224429 		-14.2393978900207 	-30.1019131167106 	 1.10771890380303E-02 	 4.00975271705858E-03 	 6.2124738992031E-07 	 27383.8932332936 		 3.17937291123249 	 3.17937291123249 	 4.83194023914587E-02 	 4.41339657299977E-04 	?
 9 	S	TEST	 100 	 1.93671231676906E-07 	 11366.0292393129 		 3.51728267722125 	 0 	 3.6894312897628E-03 	 1.42087065497812E-05 	 5.66556256353934E-07 	 29635.2179978893 		-14.2203733066046 	-30.1945091322012 	 0.011077402821079 	 4.00936990660692E-03 	 5.98245879557258E-07 	 26213.9694772204 		 2.82417463719077 	 2.82417463719077 	 4.83037166946665E-02 	 4.42402423232124E-04 	?
 10 	S	TEST	 100 	 2.04557069567735E-07 	 11970.8637598773 		 3.81591693724911 	 0 	 3.6905292186198E-03 	 1.37986324440342E-05 	 5.88139830837164E-07 	 30699.5086512195 		-14.2632858456183 	-30.2683497836864 	 1.10769206042956E-02 	 4.00906463458203E-03 	 6.37722656848805E-07 	 27779.4988703868 		 2.91463081094511 	 2.91463081094511 	 4.83077112744997E-02 	 4.43324969864989E-04 	?
 11 	S	TEST	 100 	 2.02094003420861E-07 	 11793.2086610908 		 3.48427603145955 	 0 	 3.68930994082966E-03 	 1.37700191327069E-05 	 5.79354310081825E-07 	 30177.4615139503 		-14.2306891329948 	-30.2325338499072 	 1.10772869000747E-02 	 4.00921270481717E-03 	 6.25239147372669E-07 	 27076.5244623086 		 2.94122805520826 	 2.94122805520826 	 4.83088858231185E-02 	 4.40867849192728E-04 	?
 12 	S	TEST	 100 	 1.97282573423385E-07 	 11479.8394572678 		 3.68242217173231 	 0 	 3.69003842511437E-03 	 1.40211292733437E-05 	 5.7280987131314E-07 	 29774.0885578839 		-14.1868492006009 	-29.812971142902 	 0.011077779538163 	 4.01094726098049E-03 	 6.17757271198505E-07 	 26597.0872572241 		 2.8090687383982 	 2.8090687383982 	 4.83030496077189E-02 	 4.39685115907196E-04 	?
 13 	R	CYSTINE	 100 	 1.99909345834082E-07 	 11600.0007838011 		 3.77998320549652 	 0 	 3.69039710825501E-03 	 1.36190308166169E-05 	 5.7643685513753E-07 	 29899.9994991646 		-14.2601916423797 	-29.9453992220445 	 1.10769553744762E-02 	 4.01039977680938E-03 	 6.21416605645075E-07 	 26599.9995172024 		 2.90000014163724 	 2.90000014163724 	 4.83070651783704E-02 	 4.38958970562453E-04 	?
 14 	S	TEST	 100 	 1.97269669745259E-07 	 11446.7387219184 		 3.58793942921133 	 0 	 3.6896910593115E-03 	 1.40080418146275E-05 	 5.77089813713627E-07 	 29933.8668325655 		-14.2332658842034 	-29.7973199538231 	 0.011077257944606 	 4.01101196612712E-03 	 6.14490732797623E-07 	 26303.5088286207 		 2.87377694225586 	 2.87377694225586 	 4.83059071481988E-02 	 4.39077701912538E-04 	?
